feature,original_index,shap_importance
feature_957,1021,0.00079881126
feature_1008,1072,0.0007984849
feature_228,292,0.0007950968
feature_769,833,0.0007890454
feature_974,1038,0.00078459084
feature_999,1063,0.0007786111
feature_78,142,0.0007581997
feature_251,315,0.0006958833
feature_635,699,0.0006933068
feature_765,829,0.00069078413
feature_655,719,0.00069063617
feature_806,870,0.0006767129
feature_594,658,0.00067022926
feature_608,672,0.000650857
feature_707,771,0.0006487851
feature_112,176,0.0006461751
feature_140,204,0.0006326792
feature_658,722,0.00062590773
feature_62,126,0.00062062754
feature_397,461,0.0006051818
feature_389,453,0.00060131354
feature_443,507,0.00060035754
feature_603,667,0.0005993064
feature_887,951,0.00059548643
feature_611,675,0.0005869667
feature_39,103,0.00057165005
feature_963,1027,0.00056755554
feature_627,691,0.0005552519
feature_213,277,0.00055429223
feature_799,863,0.000550005
feature_99,163,0.000547491
feature_516,580,0.00052819645
feature_762,826,0.0005230808
feature_967,1031,0.0005191941
feature_590,654,0.00051403797
feature_81,145,0.0004885566
feature_575,639,0.00048396253
feature_1016,1080,0.00047399756
feature_676,740,0.00047396077
feature_853,917,0.00045866027
feature_602,666,0.0004464281
feature_395,459,0.00044419646
feature_977,1041,0.00043624104
feature_663,727,0.00043294558
feature_165,229,0.00040758896
feature_204,268,0.00040477852
feature_885,949,0.00040034633
feature_454,518,0.00039915313
feature_610,674,0.00038991545
feature_442,506,0.00038514668
feature_728,792,0.0003823604
feature_949,1013,0.00038216493
feature_323,387,0.00036929184
feature_951,1015,0.00036648303
feature_574,638,0.00035343232
feature_748,812,0.00034323026
feature_527,591,0.00034315095
feature_910,974,0.00033810665
feature_722,786,0.0003257678
feature_605,669,0.00030701671
feature_321,385,0.00030334503
feature_320,384,0.0002894464
feature_476,540,0.00028114856
